id,customer_id,sku_id,payment_id,order_date,price,qty_ordered,before_discount,discount_amount,after_discount,is_gross,is_valid,is_net,sku_name,cogs,category,payment_method
ODR6859592351r,C822265L,P910456,4,2021-01-10,4092886,5,20464430.0,613932.9,19850497.1,True,False,False,Apple iPhone 6 (64GB) Silver,3621346,Mobiles & Tablets,Payaxis
ODR2741972772y,C483469L,P239399,2,2021-11-21,3683000,1,3683000.0,552450.0,3130550.0,True,True,True,Honda_BikeCD70-Black,3130550,Superstore,jazzvoucher
ODR5064165483d,C329053L,P239399,2,2021-11-23,3683000,1,3683000.0,552450.0,3130550.0,True,True,True,Honda_BikeCD70-Black,3130550,Superstore,jazzvoucher
ODR8655835343e,C545190L,P239399,2,2021-11-24,3683000,1,3683000.0,552450.0,3130550.0,True,True,True,Honda_BikeCD70-Black,3130550,Superstore,jazzvoucher
ODR6859592351r,C822265L,P240605,4,2021-01-10,2741370,4,10965480.0,548274.0,10417206.0,True,False,False,lenovo_80J2021CUE,2083012,Computing,Payaxis
ODR6180629046t,C492850L,P751549,4,2021-09-29,4408000,2,8816000.0,440800.0,8375200.0,True,True,True,samsungGALAXY S-7 EDGE 32GB LTE,3879040,Mobiles & Tablets,Payaxis
ODR8451284001a,C805381L,P726605,4,2022-05-22,3278450,1,3278450.0,406000.0,2872450.0,True,True,True,Ifitness_JW901,2901450,Health & Sports,Payaxis
ODR2537552109g,C890940L,P713012,4,2021-11-22,2610000,1,2610000.0,391500.0,2218500.0,True,False,False,sony_SLT-A58K,2140200,Entertainment,Payaxis
ODR1965502162e,C848774L,P168052,2,2022-05-20,6487648,1,6487648.0,364812.46,6122835.54,True,False,False,iPhone7Plus-Red-256GB,5125228,Mobiles & Tablets,jazzvoucher
ODR8450052777q,C693415L,P132718,7,2022-04-15,5626000,1,5626000.0,348000.0,5278000.0,True,False,False,Samsung_Galaxy_S8_Plus_Gray,4219500,Mobiles & Tablets,Easypay
ODR2268957100j,C813380L,P619324,7,2022-04-16,5626000,1,5626000.0,348000.0,5278000.0,True,True,True,Samsung_Galaxy_S8_Plus_Black,4782100,Mobiles & Tablets,Easypay
ODR7673587024b,C180595L,P619324,7,2022-04-17,5626000,1,5626000.0,348000.0,5278000.0,True,False,False,Samsung_Galaxy_S8_Plus_Black,4782100,Mobiles & Tablets,Easypay
ODR7333927150n,C587425L,P619324,7,2022-12-04,5626000,1,5626000.0,348000.0,5278000.0,True,False,False,Samsung_Galaxy_S8_Plus_Black,4782100,Mobiles & Tablets,Easypay
ODR5577016106c,C612225L,P624937,6,2022-04-18,5046000,1,5046000.0,348000.0,4698000.0,True,False,False,Samsung_Galaxy_S8_black,3734040,Mobiles & Tablets,easypay_voucher
ODR2742098359u,C909222L,P611114,4,2021-11-23,2783942,1,2783942.0,278394.2,2505547.8,True,False,False,Samsung_Samsung 40 Inch J5000 Full HD LED TV,2338502,Entertainment,Payaxis
ODR8871522735u,C648252L,P611114,2,2021-11-24,2783942,1,2783942.0,278394.2,2505547.8,True,False,False,Samsung_Samsung 40 Inch J5000 Full HD LED TV,2338502,Entertainment,jazzvoucher
ODR2463904091r,C869172L,P873818,1,2022-04-15,841000,2,1682000.0,254887.38,1427112.62,True,True,False,SNU_Tena-Durrani-TD16W-Kelly,529830,Women Fashion,cod
ODR6490492565x,C608898L,P725301,5,2021-11-24,2505600,1,2505600.0,250560.0,2255040.0,True,False,False,FHM_LUCID COMFORT1,1578528,Home & Living,jazzwallet
ODR8571593980v,C315164L,P165743,4,2022-05-22,1247522,1,1247522.0,178376.1,1069145.9,True,False,False,Swatch_YOS413,998006,Men Fashion,Payaxis
ODR6931838372y,C904928L,P113237,4,2022-05-22,5103942,1,5103942.0,174000.0,4929942.0,True,False,False,Samsung_49inchesK5300,3930022,Entertainment,Payaxis
ODR3638381880v,C317777L,P534748,4,2022-12-06,3440850,1,3440850.0,174000.0,3266850.0,True,False,False,Haier_HSU-18-HNF,2718228,Appliances,Payaxis
ODR9082271739m,C353808L,P506029,4,2022-05-21,2869840,1,2869840.0,174000.0,2695840.0,True,False,False,Dell_DELL 5559-I5,1750556,Computing,Payaxis
ODR7786748966g,C257393L,P506029,4,2022-05-22,2869840,1,2869840.0,174000.0,2695840.0,True,False,False,Dell_DELL 5559-I5,1750556,Computing,Payaxis
ODR8603367876u,C261226L,P942842,4,2022-05-19,2320000,1,2320000.0,174000.0,2146000.0,True,False,False,interwood_HF-01ILO-40659,1197120,Home & Living,Payaxis
ODR3138948564v,C609754L,P622378,4,2022-11-06,1195902,1,1195902.0,174000.0,1021902.0,True,True,True,AYS_32-32G6530,1076306,Entertainment,Payaxis
ODR6438394533v,C795052L,P196053,4,2022-11-06,918952,1,918952.0,174000.0,744952.0,True,True,True,Delsey_384182100,698378,Home & Living,Payaxis
ODR1691826218q,C118563L,P748128,7,2022-11-06,762062,1,762062.0,174000.0,588062.0,True,True,True,HP_PRINTER-LJ-M102AW,609638,Computing,Easypay
ODR7001698821u,C944560L,P121025,7,2022-10-06,695942,1,695942.0,174000.0,521942.0,True,True,True,timex_T2P041,544562,Men Fashion,Easypay
ODR4038166477p,C318081L,P605642,7,2022-12-06,584930,1,584930.0,174000.0,410930.0,True,False,False,Timex_TW00PR205,491318,Men Fashion,Easypay
ODR2670401704u,C385750L,P666155,1,2022-07-29,377000,1,377000.0,174000.0,203000.0,True,True,True,Ifitness_Golden-Star,316680,Health & Sports,cod
ODR4788160083h,C809015L,P607644,7,2022-11-06,547230,1,547230.0,164169.0,383061.0,True,True,True,sehgalmotors_6508,388484,Superstore,Easypay
ODR3911162372f,C269751L,P266974,4,2022-05-21,463420,2,926840.0,162342.0,764498.0,True,False,False,GA_FE-25-141203,356816,Women Fashion,Payaxis
ODR1682702313i,C506704L,P985474,4,2021-11-24,710500,1,710500.0,156310.0,554190.0,True,False,False,RMSON_TM1274 LW BK,525770,Women Fashion,Payaxis
ODR1930700725k,C890940L,P985524,5,2021-11-21,62350,10,623500.0,124700.0,498800.0,True,True,True,sg_Combo BF-07,47966,Beauty & Grooming,jazzwallet
ODR8227209830v,C518000L,P696943,2,2021-11-20,3944000,1,3944000.0,118320.0,3825680.0,True,False,False,interwood_HF-01CHS-MG-39739,2839680,Home & Living,jazzvoucher
ODR1282129843m,C314557L,P666295,4,2022-05-22,4524000,2,9048000.0,116000.0,8932000.0,True,False,False,FHM_BOXTER1,4593600,Home & Living,Payaxis
ODR8524995988x,C533504L,P902887,4,2022-05-21,8119942,1,8119942.0,116000.0,8003942.0,True,False,False,Samsung_55inchesK6500,6089942,Entertainment,Payaxis
ODR2677333053l,C841181L,P619324,7,2022-04-13,5626000,1,5626000.0,116000.0,5510000.0,True,False,False,Samsung_Galaxy_S8_Plus_Black,4782100,Mobiles & Tablets,Easypay
ODR3911485437u,C394285L,P491862,1,2022-07-21,2669740,2,5339480.0,116000.0,5223480.0,True,False,False,SharpLC40LE185M,2109054,Entertainment,cod
ODR6257188294v,C338431L,P672833,1,2022-01-08,2212410,2,4424820.0,116000.0,4308820.0,True,False,False,Panasonic_40D310,1880534,Entertainment,cod
ODR7358532156c,C548952L,P775406,4,2022-06-18,3799000,1,3799000.0,116000.0,3683000.0,True,False,False,R&I_HGR 6.05 KV D,2849250,Appliances,Payaxis
ODR7345593685t,C805381L,P726605,4,2022-05-20,3335000,1,3335000.0,116000.0,3219000.0,True,False,False,Ifitness_JW901,2901450,Health & Sports,Payaxis
ODR9772614440a,C232406L,P491161,7,2022-06-07,2588250,1,2588250.0,116000.0,2472250.0,True,False,False,Haier_HSU-12-HNF,1734084,Appliances,Easypay
ODR2038445780c,C256400L,P924655,1,2022-07-28,2215542,1,2215542.0,116000.0,2099542.0,True,True,False,Surmawala_Haier-HDF-385H,1351458,Appliances,cod
ODR3056818607f,C544122L,P672833,1,2022-03-08,2212410,1,2212410.0,116000.0,2096410.0,True,True,False,Panasonic_40D310,1880534,Entertainment,cod
ODR1552624241a,C432189L,P672833,4,2022-06-16,2212410,1,2212410.0,116000.0,2096410.0,True,False,False,Panasonic_40D310,1880534,Entertainment,Payaxis
ODR4584946511r,C495308L,P672833,1,2022-07-25,2212410,1,2212410.0,116000.0,2096410.0,True,False,False,Panasonic_40D310,1880534,Entertainment,cod
ODR3666240908f,C799285L,P504960,1,2022-07-29,2131500,1,2131500.0,116000.0,2015500.0,True,False,False,Surmawala_Orient-68635-IP-Refrigerator-Silver-Grey,1364160,Appliances,cod
ODR3307723885c,C225454L,P956967,1,2022-07-22,2040150,1,2040150.0,116000.0,1924150.0,True,True,False,RUBD_LE-40 inches - LED - HD Ready,1428076,Entertainment,cod
ODR3042821814j,C278051L,P888661,4,2022-07-30,1950540,1,1950540.0,116000.0,1834540.0,True,False,False,Surmawala_Haier-12ECO-Air-Conditioner-White,1579920,Appliances,Payaxis
ODR9240428551v,C713963L,P894459,7,2022-07-13,1911680,1,1911680.0,116000.0,1795680.0,True,True,True,UNEL_Haier 42 Inch B9000,1624928,Entertainment,Easypay
ODR9861293389m,C565012L,P837041,4,2022-03-08,1705142,1,1705142.0,116000.0,1589142.0,True,True,True,Surmawala_Haier-HWM85-7288-Washing-Machine-White,1108322,Appliances,Payaxis
ODR1934504823t,C481492L,P819695,1,2022-07-26,1668370,1,1668370.0,116000.0,1552370.0,True,True,False,AYS_CX-39U564G,1234588,Entertainment,cod
ODR4584584232t,C535886L,P819695,4,2022-07-27,1668370,1,1668370.0,116000.0,1552370.0,True,False,False,AYS_CX-39U564G,1234588,Entertainment,Payaxis
ODR8765194693i,C763177L,P819695,7,2022-07-28,1668370,1,1668370.0,116000.0,1552370.0,True,False,False,AYS_CX-39U564G,1234588,Entertainment,Easypay
ODR8324207191r,C304965L,P819695,1,2022-07-29,1668370,1,1668370.0,116000.0,1552370.0,True,True,True,AYS_CX-39U564G,1234588,Entertainment,cod
ODR7636766563z,C807679L,P819695,1,2022-07-30,1668370,1,1668370.0,116000.0,1552370.0,True,False,False,AYS_CX-39U564G,1234588,Entertainment,cod
ODR2253386908p,C392296L,P383378,5,2021-11-22,290000,4,1160000.0,116000.0,1044000.0,True,True,True,ARY Jewellers_1 Gram Millat Gold Coin --Karachi,217500,Women Fashion,jazzwallet
ODR4349856216c,C551481L,P628256,1,2022-01-07,1154142,1,1154142.0,116000.0,1038142.0,True,True,True,AYS_32-32u561,888676,Entertainment,cod
ODR9742859929l,C295434L,P210596,7,2022-06-29,1044000,1,1044000.0,116000.0,928000.0,True,False,False,seagate_STDR4000300-4TB,699480,Computing,Easypay
ODR5844815376j,C676393L,P855211,7,2022-03-21,1044000,1,1044000.0,116000.0,928000.0,True,False,False,test-product,58,Others,Easypay
ODR9801833134g,C235587L,P977249,1,2022-06-22,271440,1,271440.0,116000.0,155440.0,True,True,True,GMZV_FIFA 17 XBOX ONE,345100,Entertainment,cod
ODR3285485494w,C761888L,P396546,2,2021-11-23,3247420,1,3247420.0,97422.6,3149997.4,True,False,False,R&I_Generator 6KVG,3404310,Appliances,jazzvoucher
ODR6596011115s,C284236L,P475499,4,2022-11-05,118320,5,591600.0,88740.0,502860.0,True,True,True,RAF_800mlx12,86362,Superstore,Payaxis
ODR1393906883x,C483469L,P546750,5,2021-11-18,290000,3,870000.0,87000.0,783000.0,True,False,False,ARY Jewellers_1 Gram Millat Gold Coin --Lahore,194300,Women Fashion,jazzwallet
ODR8648637213r,C856647L,P950527,7,2022-03-26,649600,1,649600.0,87000.0,562600.0,True,True,True,Audionic_Rb 106,480704,Computing,Easypay
ODR6859592351r,C822265L,P151006,4,2021-01-10,1721150,2,3442300.0,86057.5,3356242.5,True,False,False,dawlance_ES15 1.0 Ton AC,1064358,Appliances,Payaxis
ODR5374673151h,C367865L,P987831,4,2022-06-16,545200,1,545200.0,85260.0,459940.0,True,False,False,Lacie_STET2000400-2TB,490680,Computing,Payaxis
ODR3517561564r,C700491L,P379182,7,2022-06-07,562600,1,562600.0,84390.0,478210.0,True,False,False,Victorinox_  TRAVELLER KIT,343186,Men Fashion,Easypay
ODR5050363774l,C157544L,P497470,4,2022-06-16,522000,1,522000.0,84100.0,437900.0,True,True,False,Voucher 9000,459360,Others,Payaxis
ODR8854148252t,C522507L,P715035,4,2022-05-20,501062,1,501062.0,83053.1,418008.9,True,False,False,Swatch_YAS407,370736,Men Fashion,Payaxis
ODR1653549677a,C693323L,P475499,4,2022-06-18,118320,2,236640.0,82824.0,153816.0,True,True,True,RAF_800mlx12,86362,Superstore,Payaxis
ODR7982663802t,C566330L,P519736,13,2022-05-21,1033502,1,1033502.0,79786.54,953715.46,True,False,False,Swatch_SVCG4000AG,702728,Men Fashion,Easypay_MA
ODR3715817392d,C715327L,P997843,4,2022-04-05,531280,1,531280.0,79692.0,451588.0,True,True,True,Ricoh_Monochrome Printer-SP 212w,371896,Computing,Payaxis
ODR8016343320s,C483469L,P711041,2,2021-11-18,783000,1,783000.0,78300.0,704700.0,True,False,False,Castillo_CDT-748-Black-42,626400,Men Fashion,jazzvoucher
ODR8181443587g,C468569L,P240010,7,2022-03-25,376304,1,376304.0,75260.8,301043.2,True,False,False,Timex_T49925,233276,Men Fashion,Easypay
ODR4856239093a,C438658L,P466252,4,2022-06-16,336400,1,336400.0,74820.0,261580.0,True,False,False,SFEVER_CA488HB0V4HJONAFAMZ,279212,Beauty & Grooming,Payaxis
ODR8840710864r,C914093L,P495211,5,2021-11-19,4930,100,493000.0,73950.0,419050.0,True,False,False,shahi_buy one get one free Shahi Dal Moong,3712,Soghaat,jazzwallet
ODR4364569521q,C189692L,P975815,7,2022-06-07,493000,1,493000.0,73950.0,419050.0,True,True,True,ALK_FC-15-17-A131140056,330310,Women Fashion,Easypay
ODR5408248410v,C862596L,P222416,4,2022-05-22,290000,1,290000.0,72500.0,217500.0,True,True,True,HOS-m_VEREFM100,182410,Beauty & Grooming,Payaxis
ODR8147245502x,C160493L,P620394,4,2021-09-30,238786,15,3581790.0,71635.8,3510154.2,True,True,False,West Point_WF-7901GL,143260,Appliances,Payaxis
ODR4214658143e,C988571L,P475499,4,2022-06-15,118320,3,354960.0,70992.0,283968.0,True,False,False,RAF_800mlx12,86362,Superstore,Payaxis
ODR5715333378w,C725184L,P669452,1,2021-07-16,139142,1,139142.0,69066.4,70075.6,True,True,True,Life source_LS-7001,105734,Health & Sports,cod
ODR7262645225v,C887703L,P701618,4,2021-11-21,1319500,1,1319500.0,65975.0,1253525.0,True,True,True,interwood_HF-01NOR-FW-39844,1174326,Home & Living,Payaxis
ODR6523119020w,C382290L,P457282,4,2022-05-21,638000,2,1276000.0,63800.0,1212200.0,True,False,False,HOS-m_GAADGPM125,459360,Beauty & Grooming,Payaxis
ODR5243514584l,C788957L,P307223,7,2022-07-13,410930,1,410930.0,61639.5,349290.5,True,True,True,Timex_T49990,283620,Men Fashion,Easypay
ODR5317768559t,C115745L,P825553,4,2021-11-26,306066,1,306066.0,61213.2,244852.8,True,False,False,SNU_ME16E-7A,389470,Women Fashion,Payaxis
ODR9639591969t,C899734L,P200699,4,2022-05-19,203580,1,203580.0,61074.0,142506.0,True,True,True,plk_DWI/ 952 069_71,154686,School & Education,Payaxis
ODR5165535270s,C373286L,P504367,4,2022-05-03,301600,1,301600.0,59740.0,241860.0,True,True,True,jackpot_JP-997,250328,Appliances,Payaxis
ODR7456194145a,C556889L,P484518,4,2022-01-06,395850,1,395850.0,59377.5,336472.5,True,True,False,timex_T2P392,281010,Men Fashion,Payaxis
ODR3296997226w,C831683L,P872944,2,2022-06-19,14209942,1,14209942.0,58000.0,14151942.0,True,False,False,Samsung_60inchesKU7000,12362642,Entertainment,jazzvoucher
ODR8205292522l,C626266L,P930755,4,2022-02-14,9802000,1,9802000.0,58000.0,9744000.0,True,False,False,IMAC 21.5-INCH 2.7GHZ QUAD CORE i5,6861400,Computing,Payaxis
ODR9399261305q,C533294L,P747668,7,2022-03-25,5707142,1,5707142.0,58000.0,5649142.0,True,False,False,iphone_7-128GB-wof-Matt Black,4864808,Mobiles & Tablets,Easypay
ODR4429252613v,C572593L,P779734,4,2022-06-19,5680404,1,5680404.0,58000.0,5622404.0,True,False,False,iPhone7-Red-256GB,4089870,Mobiles & Tablets,Payaxis
ODR3031398524t,C822231L,P305199,7,2022-05-19,5342090,1,5342090.0,58000.0,5284090.0,True,False,False,RM_Panasonic-K18PKF,4059942,Appliances,Easypay
ODR1196340161n,C297858L,P510854,4,2022-06-15,4929942,1,4929942.0,58000.0,4871942.0,True,False,False,Samsung_48inchesJ5000,3450942,Entertainment,Payaxis
ODR4954386932t,C465666L,P801710,7,2022-05-21,4609840,1,4609840.0,58000.0,4551840.0,True,False,False,AYS_18LITH11M,2811956,Appliances,Easypay
ODR1411745604b,C717684L,P801710,7,2022-05-22,4609840,1,4609840.0,58000.0,4551840.0,True,False,False,AYS_18LITH11M,2811956,Appliances,Easypay
ODR7477752031g,C816599L,P787423,4,2022-08-13,2597820,1,2597820.0,58000.0,2539820.0,True,True,False,Lenovo_v310-310-ci5,1708158,Computing,Payaxis
ODR9082166885a,C671880L,P491161,4,2022-06-16,2588250,1,2588250.0,58000.0,2530250.0,True,False,False,Haier_HSU-12-HNF,1734084,Appliances,Payaxis
ODR3557994699j,C491779L,P228611,4,2022-06-18,2441800,1,2441800.0,58000.0,2383800.0,True,False,False,GMZV_Black-4-1TB-Horizon-Zero-Dawn-Bundle,1684842,Entertainment,Payaxis
ODR1322322452w,C598984L,P283167,4,2022-06-18,2159630,1,2159630.0,58000.0,2101630.0,True,True,True,HP_Scanner-M225dw,1496110,Computing,Payaxis
ODR6249217496u,C724168L,P640140,7,2022-05-20,1670400,1,1670400.0,58000.0,1612400.0,True,True,False,FHM_DEEP RUST,2171520,Home & Living,Easypay
ODR7159887897x,C521935L,P910200,4,2022-02-19,1160000,1,1160000.0,58000.0,1102000.0,True,True,True,Eco Star_32U557_561,875974,Entertainment,Payaxis
ODR2377621883k,C844272L,P872958,4,2022-06-23,551000,1,551000.0,58000.0,493000.0,True,True,False,ALK_FC-08-17-A131140049,385700,Women Fashion,Payaxis
ODR7183517241f,C988571L,P252396,4,2022-06-16,98310,3,294930.0,58000.0,236930.0,True,True,True,LS_8411356775894,66816,Superstore,Payaxis
ODR4649171800s,C341639L,P838057,1,2021-08-14,252300,1,252300.0,58000.0,194300.0,True,False,False,audionic6-954217-561370,163966,Entertainment,cod
ODR1382976743p,C807718L,P419070,5,2021-11-14,116000,2,232000.0,58000.0,174000.0,True,False,False,BFV_Black Friday voucher Rs  2000,104400,Others,jazzwallet
ODR2786028086s,C446421L,P945920,4,2022-06-07,377000,1,377000.0,56550.0,320450.0,True,False,False,sgm_KTM-Polishing-Buffer-Heavy-Duty-For-Detailing,278980,Superstore,Payaxis
ODR2853079876n,C226430L,P983274,4,2022-08-13,279270,1,279270.0,55854.0,223416.0,True,False,False,Omron_HEM-7120-E,201028,Health & Sports,Payaxis
ODR5971348060b,C712686L,P452095,7,2022-05-21,1093300,1,1093300.0,54665.0,1038635.0,True,False,False,FHM_ECLIPSE,809042,Home & Living,Easypay
ODR5872259060o,C977907L,P270878,1,2021-05-10,119828,3,359484.0,53922.6,305561.4,True,False,False,Paramount_9781910561324,77836,Books,cod
ODR1154090783n,C203544L,P678309,7,2022-04-20,358730,1,358730.0,53809.5,304920.5,True,False,False,tmx_wtch_ T2E581_4,261870,Men Fashion,Easypay
ODR9128991470b,C396511L,P475499,4,2022-01-06,118320,3,354960.0,53244.0,301716.0,True,True,True,RAF_800mlx12,86362,Superstore,Payaxis
ODR8196749695r,C613878L,P204422,4,2022-07-27,87406,3,262218.0,52443.6,209774.4,True,True,True,uni_FoodPanda,58522,Superstore,Payaxis
ODR3678705048c,C157544L,P753586,4,2022-04-05,348000,1,348000.0,52200.0,295800.0,True,True,False,Voucher 6000,219240,Others,Payaxis
ODR5741169286o,C157544L,P753586,4,2022-04-27,348000,1,348000.0,52200.0,295800.0,True,False,False,Voucher 6000,219240,Others,Payaxis
ODR8512045308p,C254504L,P874325,5,2022-06-18,493000,1,493000.0,49300.0,443700.0,True,True,False,ALK_FC-07-17-A131140048,359890,Women Fashion,jazzwallet
ODR6119107959p,C682272L,P475499,1,2022-04-15,118320,2,236640.0,46400.0,190240.0,True,True,True,RAF_800mlx12,86362,Superstore,cod
ODR8294249799k,C217289L,P850836,4,2022-06-15,116000,2,232000.0,46400.0,185600.0,True,True,True,Saylani_Health-Contribution-Package-1,96280,Others,Payaxis
ODR9190651304u,C607220L,P711218,4,2022-08-13,130500,1,130500.0,45675.0,84825.0,True,True,True,Charizma_DG35,112230,Others,Payaxis
ODR7025761638f,C738725L,P998024,2,2021-11-22,852600,2,1705200.0,42630.0,1662570.0,True,False,False,FHM_Mild LCD,571242,Home & Living,jazzvoucher
ODR3399850042b,C656580L,P951797,4,2022-08-13,60900,2,121800.0,42630.0,79170.0,True,True,True,CITY_Light Grey Belt Pant-Size L 42 - W 40,41992,School & Education,Payaxis
ODR1189102251d,C421614L,P251175,4,2022-06-17,58000,2,116000.0,40600.0,75400.0,True,True,True,Saylani_School-Fee-Per-Month-One-Child,38280,Others,Payaxis
ODR5998462347q,C866611L,P358912,4,2021-11-19,809100,1,809100.0,40455.0,768645.0,True,False,False,MORG_GCS 27,606796,Health & Sports,Payaxis
ODR8635643665l,C399878L,P358912,4,2021-11-22,809100,1,809100.0,40455.0,768645.0,True,False,False,MORG_GCS 27,606796,Health & Sports,Payaxis
ODR8053828481g,C782569L,P131066,7,2022-10-08,89842,3,269526.0,40428.9,229097.1,True,False,False,PNG_Pampers_10004048-Hazir,67338,Superstore,Easypay
ODR2871715456l,C512759L,P136796,4,2022-06-19,261000,3,783000.0,39150.0,743850.0,True,False,False,nabila_NTICE FOR Almond,161820,Beauty & Grooming,Payaxis
ODR6277544838m,C390206L,P736532,4,2022-11-05,25520,10,255200.0,38280.0,216920.0,True,False,False,SN_deal_qalmi400gm,19372,Soghaat,Payaxis
ODR8404656928y,C552065L,P644527,5,2022-06-17,376130,1,376130.0,37613.0,338517.0,True,False,False,Timex_TW2P90900,312156,Men Fashion,jazzwallet
ODR7147583682t,C835970L,P534877,7,2022-03-26,58000,3,174000.0,34800.0,139200.0,True,False,False,RB_HouseholdBundle,43500,Superstore,Easypay
ODR3242745531g,C735239L,P847875,4,2022-04-27,231942,1,231942.0,34791.3,197150.7,True,True,False,da_Ahsan-Ul-Kalam-555 & Pair of Free Story Book,166982,Books,Payaxis
ODR7698430588q,C390206L,P198243,4,2022-03-08,220400,1,220400.0,33060.0,187340.0,True,True,False,tr_Ginseng Raw Honey Tea 440 g,189544,Soghaat,Payaxis
ODR3027954530e,C390206L,P198243,4,2022-07-13,220400,1,220400.0,33060.0,187340.0,True,True,True,tr_Ginseng Raw Honey Tea 440 g,189544,Soghaat,Payaxis
ODR6140448672s,C989951L,P712331,4,2022-06-15,162342,1,162342.0,32468.4,129873.6,True,False,False,Edenrobe_BTKS-16-3196-28,139606,Kids & Baby,Payaxis
ODR7133583636g,C448709L,P579281,7,2022-06-07,214600,1,214600.0,32190.0,182410.0,True,False,False,Relaxsit_RS-62,165242,Home & Living,Easypay
ODR5909858799a,C813303L,P858868,4,2021-09-29,303514,1,303514.0,30351.4,273162.6,True,False,False,akl_A132124689_GFSU1140-S,251894,Women Fashion,Payaxis
ODR3041328940a,C954151L,P464363,4,2022-06-23,48430,3,145290.0,29058.0,116232.0,True,False,False,LS_8961100500123,32886,Superstore,Payaxis
ODR6223093230h,C777017L,P653253,1,2021-04-11,171100,9,1539900.0,29000.0,1510900.0,True,False,False,Sapphire_US0421,143724,Women Fashion,cod
ODR2232573018s,C192846L,P495740,1,2022-03-07,1305000,1,1305000.0,29000.0,1276000.0,True,True,True,Ifitness_JS9.4A,822150,Health & Sports,cod
ODR8288037175v,C717559L,P504908,1,2022-09-08,284200,3,852600.0,29000.0,823600.0,True,True,False,Nabila_ZEROMAKEUP-PEARL,204624,Beauty & Grooming,cod
ODR2006370032a,C226151L,P130155,4,2021-11-27,756900,1,756900.0,29000.0,727900.0,True,False,False,MORG_GCS 26,454140,Health & Sports,Payaxis
ODR1542086061q,C226151L,P130155,4,2021-11-28,756900,1,756900.0,29000.0,727900.0,True,False,False,MORG_GCS 26,454140,Health & Sports,Payaxis
ODR8897342491n,C383266L,P504908,1,2022-10-08,284200,2,568400.0,29000.0,539400.0,True,False,False,Nabila_ZEROMAKEUP-PEARL,204624,Beauty & Grooming,cod
ODR5891125226d,C213587L,P955347,1,2022-07-20,450080,1,450080.0,29000.0,421080.0,True,True,False,timex_T2P391,378276,Men Fashion,cod
ODR7597336121a,C517438L,P341170,1,2022-11-07,432100,1,432100.0,29000.0,403100.0,True,True,False,seagate_STEA1500400-1.5TB,345680,Computing,cod
ODR1490511154e,C248634L,P803301,1,2022-07-17,407160,1,407160.0,29000.0,378160.0,True,True,True,HP_White-DeskJet-3635,270512,Computing,cod
ODR4181748736a,C788348L,P569905,4,2022-06-08,377000,1,377000.0,29000.0,348000.0,True,False,False,hop_ANKM33,286520,Beauty & Grooming,Payaxis
ODR7860309448r,C944941L,P396169,1,2022-12-07,376942,1,376942.0,29000.0,347942.0,True,True,False,Transcend_TS1TSJ25M3,256302,Computing,cod
ODR6725430076t,C873465L,P488521,1,2022-07-15,371200,1,371200.0,29000.0,342200.0,True,True,True,seagate_STEA1000400-1TB,248704,Computing,cod
ODR1691253905i,C290251L,P578899,1,2022-05-07,359020,1,359020.0,29000.0,330020.0,True,True,True,HP_Printer-2135,311286,Computing,cod
ODR2910563042t,C589584L,P578899,1,2022-07-24,357860,1,357860.0,29000.0,328860.0,True,True,True,HP_Printer-2135,311286,Computing,cod
ODR5013168982t,C846030L,P770323,1,2022-07-23,231710,1,231710.0,29000.0,202710.0,True,True,False,Ref_Top man 1111-black-42,187630,Men Fashion,cod
